Date;Eurostoxx50 ;CAC 40;Dow Jones;Eurostoxx Banks;Airbus SE;AXA SA;Carrefour SA;Daimler AG;Deutsche Telekom AG;Kering;Société Générale;Veolia Environnement SA;Vinci SA;S&P 500
03/01/2011;2839,43;3900,86;4069,44;163,81;17,79;12,83;28;51,71;9,71;109,24;41,84;22,36;41,72;1271,87
04/01/2011;2844,17;3916,03;4067,64;165,44;17,93;13,08;28,37;51,99;9,67;107,7;43,1;22,36;41,43;1270,2
05/01/2011;2833,74;3904,61;4073,25;164,87;18,39;13,24;28,09;53,6;9,62;106,94;42,74;22,1;40,88;1276,56
06/01/2011;2836,23;3904,42;4066,4;162,9;19,08;13,5;28,41;54,6;9,78;106,22;42,14;22,24;40,39;1273,85
07/01/2011;2808,25;3865,58;4072,97;159,62;19,15;13,21;28,32;54,53;9,86;104,73;40,88;22,21;40;1271,5
10/01/2011;2760,88;3802,03;4069,58;154,23;19,16;12,76;28,01;53,91;9,68;103,6;39,33;21,64;39,64;1269,75
11/01/2011;2796,6;3861,92;4068,16;157,07;20,07;12,98;28,3;54,97;9,63;107,57;40,41;21,88;40,31;1274,48
12/01/2011;2879,11;3945,07;4097,47;168,5;20,5;13,67;28,7;54,88;9,7;108,02;43,27;22,53;40,81;1285,96
13/01/2011;2915,62;3974,83;4098,55;174,09;20,3;14,3;29,18;54,97;9,65;107,34;45,21;22,9;41,21;1283,76
14/01/2011;2920,4;3983,28;4110,9;175,24;20,75;14,54;29,02;55,95;9,63;106,98;45,19;22,83;41,6;1293,24
17/01/2011;2910,63;3975,41;4110,9;173,27;20,8;14,5;28,92;56,89;9,55;105,72;44,96;23,1;41,08;1293,24
18/01/2011;2945,62;4012,68;4119,96;177,92;21,45;14,75;28,61;58,46;9,61;106,31;45,95;23,4;41,72;1295,02
19/01/2011;2923,76;3976,71;4094,27;178,66;20,95;14,27;28,34;57,08;9,61;104,06;46,32;22,95;41,25;1281,92
20/01/2011;2927,42;3964,84;4086,03;181,13;20,56;14,7;28,12;55,37;9,72;102,7;46,88;23,19;42;1280,26
